"index"	"accession"	"genome"	"assay_target_class"	"assay_target"	"biosample_type_class"	"biosample_type"	"treatment"	"mutation"	"strain"	"test_auc_roc"	"test_auc_prc"
30	"SRX028860"	"mm9"	"Histone"	"H4K5ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9670000000000001	0.2418
31	"SRX028861"	"mm9"	"Histone"	"H4K5ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9684	0.1263
32	"SRX028863"	"mm9"	"Histone"	"H4K8ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9877	0.1648
33	"SRX029263"	"mm9"	"Histone"	"H3K9ac"	"Embryonic fibroblast"	"MEF"	"Polyinosinic:polycytidylic acid"	"ER<T2> cre/cre, Ehmt2 fl/fl"	"C57BL/6"	0.997	0.8477
34	"SRX029267"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"MEF"	"Polyinosinic:polycytidylic acid"	"ER<T2> cre/cre, Ehmt2 fl/fl"	"C57BL/6"	0.9837	0.6523
35	"SRX029269"	"mm9"	"Histone"	"H3K9ac"	"Embryonic fibroblast"	"MEF"	"None"	"ER<T2> cre/cre, Ehmt2 fl/fl"	"C57BL/6"	0.9966	0.8388
36	"SRX029273"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"MEF"	"None"	"ER<T2> cre/cre, Ehmt2 fl/fl"	"C57BL/6"	0.9749	0.5855
37	"SRX029275"	"mm9"	"Histone"	"H3K9ac"	"Embryonic fibroblast"	"MEF"	"Polyinosinic:polycytidylic acid"	"ER<T2> cre/cre, Ehmt2 -/-"	"C57BL/6"	0.9918	0.7903
38	"SRX029276"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"MEF"	"Polyinosinic:polycytidylic acid"	"ER<T2> cre/cre, Ehmt2 -/-"	"C57BL/6"	0.9982	0.6792
39	"SRX029279"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"MEF"	"Polyinosinic:polycytidylic acid"	"ER<T2> cre/cre, Ehmt2 -/-"	"C57BL/6"	0.9579	0.4227
40	"SRX029281"	"mm9"	"Histone"	"H3K9ac"	"Embryonic fibroblast"	"MEF"	"None"	"ER<T2> cre/cre, Ehmt2 -/-"	"C57BL/6"	0.9946	0.8201
41	"SRX029285"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"MEF"	"None"	"ER<T2> cre/cre, Ehmt2 -/-"	"C57BL/6"	0.9668	0.5562
42	"SRX029286"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Dendritic cells"	"None"	"None"	"C57BL/6"	0.9922	0.773
43	"SRX032970"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Dendritic cells"	"None"	"None"	"C57BL/6"	0.9909	0.7351
44	"SRX032971"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Th1 cells"	"None"	"None"	"C57BL/6"	0.9861	0.6809
45	"SRX035983"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"129/Sv x C57BL/6J"	0.9942	0.7928
46	"SRX040544"	"mm9"	"TFs and others"	"Ncor2"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9928	0.2201
47	"SRX040545"	"mm9"	"TFs and others"	"Ncor1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9924	0.3073
48	"SRX041881"	"mm9"	"TFs and others"	"Rad21"	"Blood"	"Pro-B cells"	"None"	"Rag2 -/-"	"C57BL/6J"	0.9969	0.6908
49	"SRX042232"	"mm9"	"TFs and others"	"Ptf1a"	"Pancreas"	"266-6"	"None"	"None"	"C57BL/6J x SJL/J"	0.9016	0.0432
50	"SRX062102"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9919	0.3061
51	"SRX062106"	"mm9"	"Histone"	"H3K4me2"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9861	0.4327
52	"SRX062107"	"mm9"	"Histone"	"H3K4me2"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9832	0.4342
53	"SRX062108"	"mm9"	"Histone"	"H3K4me3"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9876	0.6182
54	"SRX062109"	"mm9"	"Histone"	"H3K4me3"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9847	0.5618
55	"SRX062116"	"mm9"	"Histone"	"H3K9ac"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9932	0.5918
56	"SRX062120"	"mm9"	"Histone"	"H4K12ac"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9947	0.4835
57	"SRX062946"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9937	0.735
58	"SRX062957"	"mm9"	"TFs and others"	"Ep300"	"Cardiovascular"	"Heart"	"None"	"None"	"C57BL/6"	0.9822	0.4292
59	"SRX062958"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Cardiovascular"	"Heart"	"None"	"None"	"C57BL/6"	0.9877	0.5311
60	"SRX062964"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Kidney"	"Kidney"	"None"	"None"	"C57BL/6"	0.9932	0.5456
61	"SRX062981"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Spleen"	"Spleen"	"None"	"None"	"C57BL/6"	0.9958	0.5156
62	"SRX062989"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9917	0.5716
63	"SRX062993"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9949	0.8024
64	"SRX063926"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"CD4+ CD8+ T cells"	"None"	"None"	"C57BL/6"	0.9757	0.1952
65	"SRX079862"	"mm9"	"TFs and others"	"Tal1"	"Blood"	"G1E"	"None"	"Gata1 -/-"	"129S8/SvEv-Gpi1<c>"	0.888	0.0085
66	"SRX079867"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"G1E"	"None"	"Gata1 -/-"	"129S8/SvEv-Gpi1<c>"	0.9909	0.72
67	"SRX079868"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"G1E"	"None"	"Gata1 -/-"	"129S8/SvEv-Gpi1<c>"	0.9964	0.7972
68	"SRX079872"	"mm9"	"Histone"	"H3K9me3"	"Blood"	"G1E"	"None"	"Gata1 -/-"	"129S8/SvEv-Gpi1<c>"	0.9695	0.11599999999999999
69	"SRX080170"	"mm9"	"TFs and others"	"Ctcf"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Dnmt1 -/-, Dnmt3a -/-, Dnmt3b -/-"	"(129S4/SvJae x C57BL/6J)F1"	0.9952	0.826
70	"SRX080171"	"mm9"	"TFs and others"	"Ctcf"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Dnmt1 -/-, Dnmt3a -/-, Dnmt3b -/-"	"(129S4/SvJae x C57BL/6J)F1"	0.9959	0.8441
71	"SRX080247"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(C57BL/6J x 129)F1"	0.9916	0.5335
72	"SRX081812"	"mm9"	"Histone"	"H3K27ac"	"Neural"	"Frontal cortex"	"None"	"None"	"(129X1/SvJ x CAST/EiJ)F1"	0.9749	0.3838
73	"SRX081813"	"mm9"	"Histone"	"H3K27ac"	"Neural"	"Frontal cortex"	"None"	"None"	"(129X1/SvJ x CAST/EiJ)F1"	0.9816	0.4417
74	"SRX085437"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9905	0.7754
75	"SRX091649"	"mm9"	"Histone"	"H3K9K14ac"	"Blood"	"CD4- CD8- T cells"	"None"	"None"	"C57BL/6"	0.9983	0.8097
76	"SRX091651"	"mm9"	"Histone"	"H3K9K14ac"	"Blood"	"CD4- CD8- T cells"	"None"	"None"	"C57BL/6"	0.9985	0.7265
77	"SRX091652"	"mm9"	"Histone"	"H3K9K14ac"	"Blood"	"CD4+ CD8+ T cells"	"None"	"None"	"C57BL/6"	0.9963	0.6004
78	"SRX091658"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"CD4- CD8- T cells"	"None"	"None"	"C57BL/6"	0.9925	0.4772
79	"SRX091661"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"CD4+ CD8+ T cells"	"None"	"None"	"C57BL/6"	0.9926	0.6346
80	"SRX091674"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"CD4- CD8- T cells"	"None"	"None"	"C57BL/6"	0.9936	0.223
81	"SRX091892"	"mm9"	"TFs and others"	"Taf3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-D3 cell line)"	"None"	"None"	"129S2/SvPas"	0.9897	0.4938
82	"SRX091896"	"mm9"	"TFs and others"	"Tbp"	"Pluripotent stem cell"	"Embryonic stem cells (ES-D3 cell line)"	"None"	"None"	"129S2/SvPas"	0.9888	0.1731
83	"SRX093161"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"Myeloid cells"	"None"	"None"	"C57BL/6"	0.9881	0.4987
84	"SRX096387"	"mm9"	"TFs and others"	"Rela"	"Blood"	"Macrophages"	"Lipopolysaccharide, dexamethasone"	"None"	"C57BL/6"	0.9718	0.0896
85	"SRX097641"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9933	0.5296
86	"SRX097683"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"MEL (MEL-745A cl. DS19 cell line)"	"None"	"None"	"DBA/2"	0.9891	0.6868
87	"SRX097686"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"CH12"	"None"	"None"	"(B10.A-H2<a> x B10.129P-Il4i1<H46-b> Emp3<b> Oca2<p> Selenos<H47-b>/(21M)Sn)F2"	0.985	0.6451
88	"SRX097687"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"MEL (MEL-745A cl. DS19 cell line)"	"Dimethyl sulfoxide"	"None"	"DBA/2"	0.9958	0.4064
89	"SRX099211"	"mm9"	"TFs and others"	"Stag1"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"129/Sv x C57BL/6J"	0.9949	0.5623
90	"SRX100299"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9712	0.3595
91	"SRX100611"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Follicular helper T cells"	"None"	"None"	"B6.Cg-Rag2<tm1Fwa> Tg(TcraTcrb)425Cbn/Tac"	0.9895	0.6591
92	"SRX100615"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Follicular helper T cells"	"None"	"None"	"C57BL/6J"	0.9941	0.6836
93	"SRX1014062"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Hematopoietic stem cells"	"None"	"Tet2 fl/fl, Tg(tetO-AML1/ETO)8Dzh"	"C57BL/6"	0.9858	0.5633
94	"SRX1014066"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Hematopoietic stem cells"	"None"	"Tet2 -/-, Tg(tetO-AML1/ETO)8Dzh"	"C57BL/6"	0.9892	0.5671
95	"SRX1014070"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Hematopoietic stem cells"	"None"	"Tet2 fl/fl, Tg(tetO-AML1/ETO)8Dzh"	"C57BL/6"	0.986	0.5529999999999999
96	"SRX1014074"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Hematopoietic stem cells"	"None"	"Tet2 -/-, Tg(tetO-AML1/ETO)8Dzh"	"C57BL/6"	0.9896	0.5314
97	"SRX1034732"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"mESC derived haematopoietic progenitor"	"None"	"None"	"129"	0.9956	0.7282
98	"SRX1034735"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"mESC derived haematopoietic progenitor"	"None"	"None"	"129"	0.9985	0.8232
99	"SRX1034736"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"mESC derived haematopoietic progenitor"	"None"	"None"	"129"	0.9883	0.6535
100	"SRX1034739"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"mESC derived haematopoietic progenitor"	"None"	"None"	"129"	0.9921	0.7446
101	"SRX1034743"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"mESC derived macrophages"	"None"	"None"	"129"	0.9897	0.616
102	"SRX1035108"	"mm9"	"TFs and others"	"Sox9"	"Bone"	"Chondrocytes"	"None"	"None"	"ICR/HaJ"	0.9566	0.2827
103	"SRX1035109"	"mm9"	"Histone"	"H3K4me2"	"Bone"	"Chondrocytes"	"None"	"None"	"ICR/HaJ"	0.9814	0.6533
104	"SRX1035112"	"mm9"	"Histone"	"H3K26me3"	"Bone"	"Chondrocytes"	"None"	"None"	"ICR/HaJ"	0.9926	0.2494
105	"SRX1035114"	"mm9"	"TFs and others"	"Ep300"	"Bone"	"Chondrocytes"	"None"	"None"	"ICR/HaJ"	0.968	0.2075
106	"SRX1035119"	"mm9"	"TFs and others"	"Sox9"	"Embryo"	"Embryonic nose"	"None"	"None"	"ICR/HaJ"	0.9798	0.4192
107	"SRX1036413"	"mm9"	"TFs and others"	"Pou5f1"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9686	0.2483
108	"SRX1036419"	"mm9"	"TFs and others"	"Ddx21"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9965	0.8343
109	"SRX1036420"	"mm9"	"TFs and others"	"Hexim1"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9989	0.812
110	"SRX1036647"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"CD4+ T cells"	"None"	"None"	"(C57BL/6 x 129)F1"	0.9941	0.5434
111	"SRX1036772"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"(CAST/EiJ x FVB/NJ)F1"	0.9845	0.628
112	"SRX1036773"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"(CAST/EiJ x FVB/NJ)F1"	0.9866	0.6368
113	"SRX1036774"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"(FVB/NJ x CAST/EiJ)F1"	0.9854	0.6172
114	"SRX1036775"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"(FVB/NJ x CAST/EiJ)F1"	0.987	0.6703
115	"SRX1038471"	"mm9"	"TFs and others"	"Ebf1"	"Blood"	"Pro-B cells"	"None"	"None"	"C57BL/6J"	0.919	0.0245
116	"SRX1038473"	"mm9"	"TFs and others"	"Ebf1"	"Blood"	"Pro-B cells"	"None"	"Pax5 +/-"	"C57BL/6J"	0.9323	0.0259
117	"SRX1040777"	"mm9"	"TFs and others"	"Rnf2"	"Embryonic fibroblast"	"C3H/10T1/2 clone 8"	"None"	"None"	"C3H"	0.9519	0.0828
118	"SRX104151"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9757	0.083
119	"SRX104152"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9759	0.1075
120	"SRX104153"	"mm9"	"RNA polymerase"	"Polr2b"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9792	0.5093
121	"SRX104382"	"mm9"	"TFs and others"	"Ncaph2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9854	0.2017
122	"SRX104391"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9864	0.6091
123	"SRX104392"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"Nocodazole"	"None"	"C57BL/6 x 129S4/SvJae"	0.9902	0.5584
124	"SRX104394"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9974	0.7247
125	"SRX1046553"	"mm9"	"TFs and others"	"Rag2"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9907	0.6646
126	"SRX1050609"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9916	0.7085
127	"SRX1050612"	"mm9"	"Histone"	"H3K9bhb"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.992	0.5689
128	"SRX105112"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Macrophages"	"IL4"	"LysMCre, Hdac3 -/-"	"C57BL/6"	0.9939	0.45299999999999996
129	"SRX105114"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Macrophages"	"IL4"	"LysMCre, Hdac3 -/-"	"C57BL/6"	0.9964	0.5251
130	"SRX1053802"	"mm9"	"TFs and others"	"Kat5"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9963	0.519
131	"SRX105446"	"mm9"	"TFs and others"	"Runx1"	"Blood"	"L8057"	"None"	"None"	"C3H/He"	0.9641	0.25
132	"SRX105447"	"mm9"	"TFs and others"	"Cbfb"	"Blood"	"L8057"	"None"	"None"	"C3H/He"	0.9614	0.2314
133	"SRX105448"	"mm9"	"TFs and others"	"Rnf2"	"Blood"	"L8057"	"None"	"None"	"C3H/He"	0.9551	0.1851
134	"SRX105451"	"mm9"	"TFs and others"	"Cbfb"	"Blood"	"L8057"	"None"	"None"	"C3H/He"	0.9589	0.17300000000000001
135	"SRX1060551"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Germline stem cells"	"None"	"None"	"(CD-1 x C57BL/6)F1"	0.9867	0.7184
136	"SRX1060561"	"mm9"	"Histone"	"H3K4me2"	"Gonad"	"Spermatocytes"	"None"	"Rnf8 -/-"	"C57BL/6"	0.9544	0.4772
137	"SRX1060565"	"mm9"	"Histone"	"H4K8ac"	"Gonad"	"Spermatocytes"	"None"	"None"	"C57BL/6"	0.9323	0.2111
138	"SRX1060566"	"mm9"	"TFs and others"	"Crotonyl lysine"	"Gonad"	"Spermatocytes"	"None"	"None"	"C57BL/6"	0.9727	0.3047
139	"SRX1060567"	"mm9"	"TFs and others"	"Crotonyl lysine"	"Gonad"	"Spermatocytes"	"None"	"Rnf8 -/-"	"C57BL/6"	0.9109	0.12300000000000001
140	"SRX1060570"	"mm9"	"Histone"	"H3K4me2"	"Gonad"	"Spermatids"	"None"	"None"	"C57BL/6"	0.9691	0.3081
141	"SRX1060571"	"mm9"	"Histone"	"H3K4me2"	"Gonad"	"Spermatids"	"None"	"Rnf8 -/-"	"C57BL/6"	0.9537	0.2565
142	"SRX1074790"	"mm9"	"Histone"	"H3K4me2"	"Liver"	"Liver"	"Estradiol"	"Esr1 -/-"	"C57BL/6"	0.9678	0.5687
143	"SRX1074791"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"Estradiol"	"Esr1 -/-"	"C57BL/6"	0.9637	0.4334
144	"SRX1078977"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Breast"	"Mammary glands"	"None"	"Ezh2 fl/fl, Tg(MMTV-cre)"	"(C57BL/6J x FVB/N)F1"	0.9853	0.3258
145	"SRX1078979"	"mm9"	"TFs and others"	"Stat5a"	"Breast"	"Mammary glands"	"None"	"Ezh2 fl/fl, Tg(MMTV-cre)"	"(C57BL/6J x FVB/N)F1"	0.9348	0.0357
146	"SRX1080389"	"mm9"	"TFs and others"	"Smad2"	"Pluripotent stem cell"	"Embryoid bodies (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9532	0.1281
147	"SRX1080393"	"mm9"	"TFs and others"	"Tcf3"	"Pluripotent stem cell"	"Embryoid bodies (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9759	0.49700000000000005
148	"SRX1080398"	"mm9"	"TFs and others"	"Tcf3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9768	0.4683
149	"SRX1080403"	"mm9"	"TFs and others"	"Smad2"	"Pluripotent stem cell"	"Embryoid bodies"	"None"	"None"	"C57BL/6J"	0.9785	0.2675
150	"SRX1080406"	"mm9"	"TFs and others"	"Smad2"	"Pluripotent stem cell"	"Embryoid bodies"	"None"	"Trp53 -/-"	"C57BL/6J"	0.9827	0.3662
151	"SRX1092613"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6J"	0.9959	0.634
152	"SRX1092614"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6J"	0.9961	0.6481
153	"SRX1092950"	"mm9"	"TFs and others"	"Cebpa"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9740000000000001	0.2757
154	"SRX1092955"	"mm9"	"TFs and others"	"Cebpa"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9724	0.2942
155	"SRX1092956"	"mm9"	"TFs and others"	"Cebpa"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9641	0.3241
156	"SRX109461"	"mm9"	"TFs and others"	"Nr1d1"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9773	0.1616
157	"SRX109462"	"mm9"	"TFs and others"	"Nr1d2"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9717	0.1706
158	"SRX1098142"	"mm9"	"TFs and others"	"Pdx1"	"Pancreas"	"Beta-TC-6"	"None"	"None"	"B6.D2-Tg(RIP1-Tag)2Dh/Nci"	0.9049	0.0251
